Month-Year	Number	Questions	Choice A	Choice B	Choice C	Choice D	Choice E	Answer
July 2022	1	An administrator needs to modify the available memory and storage space available in a virtual machine. Which of the following would provide this functionality?	NAT	Rapid Electricity	VDI	Hypervisor	UEFI BIOS	D
July 2022	2	The Windows 10 desktop on an HDMI LCD appears blurry and difficult to read. Which of the following would be the MOST likely fix for the issue?	Reboot	Change The Video Input	Modify The Resolution	Increase The Contrast	Replace The Video Cables	C
July 2022	3	Which of the following does not require a backlight for normal operation?	OLED	Thunderbolt	HDMI	TN LCD	N/A	A
July 2022	4	Which of the following technologies would be MOST likely used to manage industrial equipment?	VLAN	Proxy	IPS	Vpn Endpoint	Scada	E
July 2022	5	An administrator has doubled memory throughput on a desktop computer by adding an addition DIMM. Which of the following describes this improvement?	Parity	Multi-Channeled	DDR	Eec	Caching	B
July 2022	6	An administrator is installing an operating system onto a cloud server. Which of the following would BEST describe this cloud model?	SaaS	IaaS	VDI	Metering	PaaS	B
August 2022	7	A single drive in a four-drive NAS has failed, and the data is no longer accessible from the network. Which of the following would BEST describe this array?	RAID 0	RAID 1	RAID 1+0	RAID 5	N/A	A
August 2022	8	Which of the following can be used to connect an iPad to a laptop?	Thunderbolt	RS-232	Micro-USB	Lightning	Mini-USB	D
August 2022	9	A network administrator needs to monitor the router at a remote site. Which of the following should be enabled in the firewall?	TCP/110	UDP/53	TCP/389	UDP/161	TCP/25	D
August 2022	10	A user is using an ADF to complete a project. Which of the following would be MOST associated with this project?	Backup storage	USB drive booting	Cloud-based file sharing	Packet captures	Page scanning	E
September 2022	11	A user in the shipping department can access their Windows desktop from a computer at their desk, from their tablet, or from their smartphone. Which of the following would BEST describe this scenario?	SaaS	PaaS	DaaS	IaaS	N/A	C
September 2022	12	A user's computer operates normally for about an hour before abruptly powering off without any error messages or warning. Which of the following is the MOST likely reason for this issue?	Malware	Overheating	Damaged application	BIOS upgrade	Network outage	B
September 2022	13	What security feature is associated with the connections of a new Bluetooth device?	Domain password	Face recognition	Fingerprint	PIN	802.1X	D
September 2022	14	A third-party is not able to validate the source of an incoming email. Which of the following determines the disposition of this email?	DMARC	S/MIME	SPF	MX	DKIM	A
September 2022	15	Which of the following uses ultraviolet light to produce a printed output?	Resin	Inkjet	Thermal	Laser	Impact	A
October 2022	16	A technician receives this message when starting a system: Failure Predicted on Hard Disk 0. Which of the following is associated with this notice?	SNMP Trap	Event Viewer	SMART	Performance Monitor	Windows Stop Error	C
October 2022	17	A user in a conference room needs to connect their mobile phone to external speakers. Which of the following should be used?	Lightning	Bluetooth	NFC	Hotspot	Serial	B
October 2022	18	By default, how often does a client computer check in with a lending DHCP server to renew the IP address?	At the beginning and end of the lease	Halfway through the lease time	Each 24 hours of the lease	75% of the lease time	87.5% of the lease time	B
October 2022	19	Which of the following would prevent someone from inadvertently viewing sensitive information on a printer output tray?	WPA3	Duplexing	Audit logs	Printer sharing	Badging	E
December 2022	20	A company is billed a different amount each month based on the data transferred from cloud-based applications. Which of the following would BEST describe this billing?	Rapid elasticity	VDI	Internal cloud	Metered	High availability	D
December 2022	21	The monitor on a user's desktop computer has begun flashing on and off randomly throughout the day. Which of the following would be the BEST next troubleshooting step?	Replace the HDMI cable	Install an updated video driver	Upgrade the UEFI BIOS	Restore from a known-good backup	Clean the fan and airflow screens	A
December 2022	22	A BYOD user has found the option to remove a screen lock has been disabled. Which of the following would BEST explain this configuration?	GPS	Cloud backup	MDM	Bluetooth	LTE	C
December 2022	23	During an office move, Ethernet connectors were pulled off the end of a patch cable. Which if the following would be the BEST way to repair this?	Inductive probe	Punch-down tool	Tone generator	Crimper	Cable tester	D
December 2022	24	A user has submitted a help desk ticket stating their printer cartridge is clogged. Which of the following printers is in use?	3D	Inkjet	Thermal	Laser	Impact	B
December 2022	25	A developer is using a cloud-based service to build a custom application based on predefined modules. Which of the following would BEST describe this cloud model?	SaaS	DaaS	IaaS	Hybrid	PaaS	E
January 2023	26	A user's workstation randomly powers off without any error messages or warnings. Which of the following would be the BEST next troubleshooting step?	Hardware diagnostics	Check the monitor input source	Check available space and defrag	Replace the CPU	Upgrade the BIOS	A
January 2023	27	A company requires all mobile phones to include a lock screen. Which of the following would be the best way to provide this requirement?	VPN	Active Directory	LTE	MDM	IMAP	D
January 2023	28	A network administrator has found a firewall rule which allows tcp/110. What type of traffic would be allowed by this rule?	File transfers	Desktop remote control	Emails	Domain name lookups	Terminal sessions	C
January 2023	29	An administrator has changed a switch on a power supply from 120 to 230. Which of the following is associated with these values?	Max combined wattage	Input voltage	Max current	Battery backup amps	Redundant power capacity	B
January 2023	30	A company pays a flat fee for cloud storage. Which of the following would BEST describe this cloud characteristic?	Rapid elasticity	Internal cloud	High availability	File synchronization	Non-metered	E
January 2023	31	A desktop monitor shows information only on the right side of the display while the left side remains black. Which of the following is the MOST likely reason for issue?	Backlight failure	Incorrect input	Burn-in	Dead pixels	Faulty video cable	A
February 2023	32	A device communicates over a DB-9 interface. Which of the following would be the MOST likely use of this communication?	Disk redundancy	Device configuration	Video output	High-speed file transfer	Memory parity	B
February 2023	33	Which of the following would describe the logical separation of devices in different broadcast domains?	VPN	LDAP	VLAN	MAN	WLAN	C
February 2023	34	What Windows directory is used when installing 64-bit applications?	\Program Files (x64)	\Windows\System32	\Program Files	\Windows\Apps	\Program Files (x86)	C
February 2023	35	An organization maintains both a private cloud infrastructure and a public cloud instance. Which of the following would BEST describe this deployment type?	SaaS	Community	Metered	VDI	Hybrid	E
February 2023	36	A network laser printer is working fine for most users, but the output for one person is garbled and is not readable. Which of the following would be the MOST likely reason for this issue?	Faulty network cable	Damaged photosensitive drum	Incorrect driver	Non-working fuser	Faulty cleaning process	C
March 2023	37	A system administrator needs to charge a new smartphone for a new employee. Which of the following would be used for this task?	Thunderbolt	Lightning	DB-9	NFC	Hotspot	B
March 2023	38	Which of the following DNS records identify servers authorized to send email on behalf of a domain?	DKIM	AAAA	DHCP	SPF	DMARC	D
March 2023	39	An administrator is installing a new cable modem at a remote site. Which of the following connectors is used to connect the modem to the cable company network?	F connector	RJ45	USB-C	DB-9	RJ11	A
March 2023	40	A user's computer is not able to start a virtual machine from a hypervisor running in Windows. Which of the following is the MOST likely reason for this issue?	Network congestion	Faulty SSD	Incorrect video resolution	VT not enabled	N/A	D
March 2023	41	An administrator is evaluating SSDs to determine which device provides the best performance. Which of the following metrics would BEST provide this comparison?	Jitter	Total capacity in GB	RPMs	Wattage rating	IOPS	E
April 2023	42	Users authenticate to a label printing computer using face recognition. Which of the following would BEST describe this process?	Hashing	NTFS	Biometrics	EFS	Encryption	C
April 2023	43	A company manages warehouse inventory using a wireless technology. Which of the following would be the BEST choice for this task?	Long ranged fixed wireless	5G	RFID	WISP	NFC	C
April 2023	44	A network scanner uses SMB to store the digital scans. Which of the following would be the MOST likely destination for these files?	Cloud storage	FTP server	Digital certificate	Windows share	Web server	D
April 2023	45	A cloud server is configured with a specific CPU, memory, storage, network, and operating system. Which of the following would BEST describe this cloud model?	Hybrid	SaaS	Private	Community	IaaS	E
April 2023	46	A user's laptop randomly powers down after an hour of normal operation. Which of the following would be the MOST likely reason for this issue?	Incorrect boot device selected	Poorly written application	incorrect monitor input	Low memory condition	Overheating system	E
May 2023	47	A stylus is no longer working on a tablet computer. Which of the following is the MOST likely failed component?	Digitizer	M.2 drive	System RAM	USB interface	Inverter	A
May 2023	48	A technician is configuring a tablet to receive email messages from the ISP's server. Which of the following port numbers would be commonly used?	3389	67	143	22	389	C
May 2023	49	None of the USB interfaces on the front of a desktop case will recognize when a USB device is connected. Which of the following components is the MOST likely source of the issue?	Pin header	eSATA interface	ATX +12V power	CPU speed	Out of memory	A
May 2023	50	A software installation fails with the message, "AMD-V Not Enabled." What type of software is MOST likely being installed?	SNMP agent	Hypervisor	Email service	Web server	Certificate Authority	B
May 2023	51	Each time a user prints, a message on the printer shows "LOAD TRAY 3 PLAIN LETTER." Which of the following is the MOST likely reason for this message?	Corrupted network traffic	Bad printer cable	Low toner	Fuser is faulty	incorrect printer defaults	E
June 2023	52	A company has configured an access door to unlock when an authorized user's phone is placed near a reader. Which of the following technologies are MOST likely used?	Windows hello face	PoE	VLAN	NFC	SDN	D
June 2023	53	A network administrator suspects the WAN interface on a router is faulty. Which of the following would confirm this suspicion?	Crossover cable	Loopback plug	Crimper	Inductive probe	Punch down tool	B
June 2023	54	A memory error was identified and corrected by a server's ECC memory module. Which of the following technologies provides this integrity check?	WPA3	DDR	Parity	NVMe	TPM	C
June 2023	55	A cloud-based application instance is designed to always be available to the end user. Which of the following would BEST describe this cloud characteristic?	High availability	Rapid elasticity	Non-metered	DaaS	Hybrid	A
June 2023	56	A laptop reboots automatically after a Windows Stop Error. Which of the following would disable this automatic restart feature?	Device manager	Performance Monitor	Event viewer	System Properties	N/A	D
July 2023	57	A technician is replacing a laptop display containing inverters. Which of the following would be associated with this display type?	OLED	LED	Stylus	CCFL	Digitizer	D
July 2023	58	A laptop is not able to resolve the IP addresses of any FQDNs. Which of the following would MOST likely be blocked at the firewall?	tcp/22	udp/53	tcp/389	udp/161	tcp/443	B
July 2023	59	A Windows administrator would like to view all of the 32-bit applications installed on a system. Which of the following would provide this information?	Safe Mode	UEFI BIOS	Event Viewer	Task Manager	C:\Program Files (x86)	E
July 2023	60	An employee is using a cloud-based application for client scheduling. The company connects to the application over the internet and only maintains login credentials for the application. Which of the following would BEST describe this cloud model?	SaaS	PaaS	Elasticity	IaaS	Orchestration	A
July 2023	61	A wireless network is receiving interference from a nearby power transformer. Which of the following would provide a measurement of this interference?	SNR	WPA	Jitter	PoE	802.1x	A
August 2023	62	Which of the following would be the MOST common use of a touch pen?	Host a presentation	Store data on anexternal device	Capture a signature	Use a docking station	Connect to an online meeting	C
August 2023	63	Which of the following is the last step of a successful DHCP lease?	Associate	Offer	Aknowledge	Request	Discover	C
August 2023	64	An inkjet printer has stopped printing the color yellow. Which of the following would be the BEST way to correct this issue?	Calibrate the printer	Replace the ink cartridge	Use a different printer weight	Replace the fuser	Upgrade the printer driver	B
August 2023	65	A system administrator is managing all user desktops from a cloud-based infrastructure. Which of the following would BEST describe this system?	PaaS	Private	IaaS	DaaS	Hybrid	D
August 2023	66	The text on an LCD display can be read, but the text is blurry and the individual characters are not as sharp as they should be. Which of the following would be the MOST likely reason for this issue?	Burn-in	Incorrect input interface	Overheating	Dead pixels	Incorrect resolution	E
August 2023	67	Which of the following technologies are commonly used for authentication and payment services?	Bluetooth	NFC	802.11	IR	Ethernet	B
September 2023	68	A storage array is showing a failure in two hard-drives. the users report all systems and data are accessible. Which of the following BEST describes this configuration?	RAID 1+0	RAID 5	ECC	RAID 1	RAID 0	A
September 2023	69	A company uses a cloud based app for time tracking. The company is responsible for installing, upgrading and maintaining the OS and software on the cloud server. which of the following would BEST describe this?	SaaS	Hybrid	IaaS	Community	PaaS	C
September 2023	70	The output from the inkjet printer shows an unintended blank line down the length of the page. Which of the following would be MOST likely reason for this issue?	Scratched photosensitive drum	Incorrect printer driver	Faulty pin in the print head	Low toner	Dirty print head	E
September 2023	71	A technician is replacing the inverter in a laptop. Which of the following would this address?	Black screen	Blurry text and graphics	Incorrect screen orientation	Weak wireless signals	Intermittent shutdowns	A
September 2023	72	Which of the following provides MU-MIMO functionality?	802.11n	802.11b	802.11g	802.11a	802.11ax	E
September 2023	73	Each time a user starts a specific corporate app, a page of disclaimers and usage requirements is shown before the login prompt. Which of the following would BEST describe this?	Splash Screen	Acceptable use policy	Standard operating procedures	Topology diagram	Error 404	A
October 2023	74	Which of the following can be used with a DVI-D interface without a signal conversions?	eSATA	HDMI	VGA	DVI-I	Lightning	D
October 2023	75	A company is charged a fee for their public cloud services based on the number of transactions and data stored? Which of the following would describe this cloud characteristic?	Synchronization	High Availability	Metered	VDI	Rapid elasticity	C
October 2023	76	A technician is reading a diagnostics report regarding IOPS. Which of the following is the technician troubleshooting?	Video resolution	Storage drive performance	Wireless signal strength	LCD Display brightness	Network throughput	B
October 2023	77	Which of the following security techniques would be MOST commonly associated with the Bluetooth pairing request?	Multi-factor authentication	NFC scanning	GPS location	Emailed access code	PIN Verification	E
October 2023	78	A user is transferring a file from their computer to a network share. Which of the following would commonly be used for this communication?	tcp/445	udp/161	tcp/22	tcp/3389	udp/53	A
October 2023	79	Which of the following would be the expected output from a desktop computer's power supply?	120V	15V	100V	12V	240V	D
November 2023	80	When starting a VM, the hypervisor shows an error stating the cpu is not configured to support virtualization. Which of the following should be enabled?	AMD-V	raid	caching	uefi security	N/A	A
November 2023	81	An interface on an ethernet switch is alternating between an active and inactive state which of the following would describe this symptom?	switch loop	crc error	flapping	duplex mismatch	N/A	C
November 2023	82	A company is requires all mobile phones automatically lock after a period of non-use. which of the following would be the best way to apply this policy?	stp	group policy	sims	MDM	N/A	D
November 2023	83	A network administrator is adding an spf record to a DNS server. which of the following would be provided with this configuration?	ipv6 address	A list of mail servers	email messages	DNA config	N/A	B
November 2023	84	A system administrator has added a second dimm to system to increase throughput. which is the best modification?	Cache memory	ECC	SSD	multi-channel memory	N/A	D
December 2023	85	A company has built their own cloud-based applications for use in their internal data centers. Which of the following would BEST describe this deployment?	SaaS	High availability	Community infrastructure	Rapid elasticity	Private cloud	E
December 2023	86	A user's laptop computer randomly powers down during the workday, and the technician suspects a thermal issue. Which of the following would be the BEST way to gather temperature information on this computer?	Safe Mode	Event Viewer	System BIOS	Task Manager	Windows Update	C
December 2023	87	The stylus on a tablet computer has stopped working. Which of the following would be the MOST likely reason for this issue?	Digitizer Fault	Corrupted RAM	Incorrect video resolution	Network cable short	Storage is full	A
December 2023	88	A server is configured for DHCP, but always receives the same IP address after rebooting. Which of the following would be the MOST likely reason for this?	T1 timer	DHCP pool	Address reservation	Dynamic routing	DNS server configuration	C
December 2023	89	Which color in the 568A and 568B color schemes have the same pin assignments between both standards?	Blue/White Blue	Green/White Green	Orange/White Orange	Brown/White Brown	Yellow/White Yellow	A
January 2024	90	A company is hosting all of their user desktops in a cloud based infastructure.Which of the following would best describe this configuration.	VDI	IPsec	APIPA	DDoS	VlAN	A
January 2024	91	A users desktop monitor flashes a black screen about every ten seconds.Which of the following would be the most likely reason for this issue?	Display is configured for the native resolution	Monitor has burn in	Brightness is set to minimum value	Refresh rate is mismatched in the os	Monitor has dead pixels	D
January 2024	92	An emploee is using a port replicator with their laptop computer.Which of the following would be the most likely reason for this.	increase processer performence	provide additional cooling	connect additional usb devices	increase RAM capacity	Add a memory cache	C
January 2024	93	A network administraton needs to allow windows file shares to pass through a firewall.Which of the following ports should be opened on the firewall	tcp/3389	tcp/443	tcp/161	tcp/445	tcp22	D
January 2024	94	A manager would like to prevent the inadvertent sharing of sensitive information from the shared laser printer output tray.Which of the following would provide this functionallity	Secure printing	password protected printer shares	virtual private networking	Cloud Printing	Audit Logs	B
January 2024	95	The VT funtionally has been administratively disabled on a user's workstation.Which of the would be affected	encrypted web communication	Multi-channel memory	External USB storage	Network Printing	Virtual Machines	E
February 2024	96	A company's LCD projector powers down after 15 minutes of use. Which of the following is the MOST likely reason  for this issue?	Power off timer	thermal override	Faulty video cable	memory corruption	ongoing power outages	B
February 2024	97	A Bluetooth pairing process between a phone and computer is failing with an error. Which of these would be the MOST likely reason for this problem?	low battery	jailbroken phone	incorrect pin	password protected 802.11	unpatched OS	C
February 2024	98	An administrator has been asked to connect a time clock to the network. Which of the following describes the time clock?	UTM	embedded system	SCADA device	storage array	legacy system	A
February 2024	99	Which of the following uses parity as a method of redundancy?	RAID 5	Lightning	VLAN	TPM	PostScript	A
February 2024	100	A development team is building a cloud-based inventory application using pre-built modules. Which of the following would BEST describe this model?	SaaS	IaaS	VDI	Metering	PaaS	E
March 2024	101	A new desktop computer shipment has just arrived, but the system will not power on. Which of folowing should be checked FIRST?	M.2 connector	S.M.A.R.T report	24-pin connector	Jitter measurement	BIOS version	C
March 2024	102	A user would like to use their mobile phone to provide Internet access to multiple devices. Which of the following would be the BEST choice for this task?	Bluetooth	Lighting	Hotspot	DB-9	NFC	C
March 2024	103	A network administator has identified and Ethernet cable with swapped pins. Which of the following provided this information	Inductive probe	Cable tester	Punch down tool	Tone generator Loopback plug	Loopback plug	B
March 2024	104	Which of the following monitor inputs could be used with a video card containing a DVI output?	HDMI	VGA	DisplayPort	Lightning	Thunderbolt	A
